meter_id,date,daily_energy_wh
1130211_FD1_L1_EDMI_1_D,2013-06-13,6023
1130211_FD1_L1_EDMI_1_D,2013-06-14,7608
1130211_FD1_L1_EDMI_1_D,2013-06-15,5673
1130211_FD1_L1_EDMI_1_D,2013-06-16,7303
1130211_FD1_L1_EDMI_1_D,2013-06-17,8003
1130211_FD1_L1_EDMI_1_D,2013-06-18,2398
1130211_FD1_L1_EDMI_1_D,2013-06-19,2536
1130211_FD1_L1_EDMI_1_D,2013-06-20,2564
1130211_FD1_L1_EDMI_1_D,2013-06-21,2536
1130211_FD1_L1_EDMI_1_D,2013-06-22,2414
1130211_FD1_L1_EDMI_1_D,2013-06-23,2513
1130211_FD1_L1_EDMI_1_D,2013-06-24,2263
1130211_FD1_L1_EDMI_1_D,2013-06-25,2222
1130211_FD1_L1_EDMI_1_D,2013-06-26,2467
1130211_FD1_L1_EDMI_1_D,2013-06-27,3114
1130211_FD1_L1_EDMI_1_D,2013-06-28,8242
1130211_FD1_L1_EDMI_1_D,2013-06-29,7509
1130211_FD1_L1_EDMI_1_D,2013-06-30,8473
1130211_FD1_L1_EDMI_1_D,2013-07-01,5955
1130211_FD1_L1_EDMI_1_D,2013-07-02,6459
1130211_FD1_L1_EDMI_1_D,2013-07-03,5753
1130211_FD1_L1_EDMI_1_D,2013-07-04,6877
1130211_FD1_L1_EDMI_1_D,2013-07-05,9287
1130211_FD1_L1_EDMI_1_D,2013-07-06,7064
1130211_FD1_L1_EDMI_1_D,2013-07-07,5891
1130211_FD1_L1_EDMI_1_D,2013-07-08,9083
1130211_FD1_L1_EDMI_1_D,2013-07-09,6640
1130211_FD1_L1_EDMI_1_D,2013-07-10,8515
1130211_FD1_L1_EDMI_1_D,2013-07-11,7010
1130211_FD1_L1_EDMI_1_D,2013-07-12,7055
1130211_FD1_L1_EDMI_1_D,2013-07-13,9876
1130211_FD1_L1_EDMI_1_D,2013-07-14,6421
1130211_FD1_L1_EDMI_1_D,2013-07-15,8043
1130211_FD1_L1_EDMI_1_D,2013-07-16,7168
1130211_FD1_L1_EDMI_1_D,2013-07-17,8401
1130211_FD1_L1_EDMI_1_D,2013-07-18,7142
1130211_FD1_L1_EDMI_1_D,2013-07-19,7773
1130211_FD1_L1_EDMI_1_D,2013-07-20,8953
1130211_FD1_L1_EDMI_1_D,2013-07-21,6523
1130211_FD1_L1_EDMI_1_D,2013-07-22,4212
1130211_FD1_L1_EDMI_1_D,2013-07-23,5717
1130211_FD1_L1_EDMI_1_D,2013-07-24,4460
1130211_FD1_L1_EDMI_1_D,2013-07-25,4722
1130211_FD1_L1_EDMI_1_D,2013-07-26,6073
1130211_FD1_L1_EDMI_1_D,2013-07-27,5678
1130211_FD1_L1_EDMI_1_D,2013-07-28,6605
1130211_FD1_L1_EDMI_1_D,2013-07-29,6485
1130211_FD1_L1_EDMI_1_D,2013-07-30,5364
1130211_FD1_L1_EDMI_1_D,2013-07-31,9015
1130211_FD1_L1_EDMI_1_D,2013-08-01,9128
1130211_FD1_L1_EDMI_1_D,2013-08-02,7476
1130211_FD1_L1_EDMI_1_D,2013-08-03,7516
1130211_FD1_L1_EDMI_1_D,2013-08-04,9378
1130211_FD1_L1_EDMI_1_D,2013-08-05,6596
1130211_FD1_L1_EDMI_1_D,2013-08-06,4815
1130211_FD1_L1_EDMI_1_D,2013-08-07,7369
1130211_FD1_L1_EDMI_1_D,2013-08-08,6334
1130211_FD1_L1_EDMI_1_D,2013-08-09,6314
1130211_FD1_L1_EDMI_1_D,2013-08-10,6840
1130211_FD1_L1_EDMI_1_D,2013-08-11,9100
1130211_FD1_L1_EDMI_1_D,2013-08-12,6907
1130211_FD1_L1_EDMI_1_D,2013-08-13,6010
1130211_FD1_L1_EDMI_1_D,2013-08-14,8278
1130211_FD1_L1_EDMI_1_D,2013-08-15,7400
1130211_FD1_L1_EDMI_1_D,2013-08-16,7792
1130211_FD1_L1_EDMI_1_D,2013-08-17,7313
1130211_FD1_L1_EDMI_1_D,2013-08-18,6876
1130211_FD1_L1_EDMI_1_D,2013-08-19,5563
1130211_FD1_L1_EDMI_1_D,2013-08-20,5097
1130211_FD1_L1_EDMI_1_D,2013-08-21,7076
1130211_FD1_L1_EDMI_1_D,2013-08-22,6480
1130211_FD1_L1_EDMI_1_D,2013-08-23,7437
1130211_FD1_L1_EDMI_1_D,2013-08-24,7587
1130211_FD1_L1_EDMI_1_D,2013-08-25,5889
1130211_FD1_L1_EDMI_1_D,2013-08-26,8201
1130211_FD1_L1_EDMI_1_D,2013-08-27,5887
1130211_FD1_L1_EDMI_1_D,2013-08-28,8127
1130211_FD1_L1_EDMI_1_D,2013-08-29,6938
1130211_FD1_L1_EDMI_1_D,2013-08-30,6788
1130211_FD1_L1_EDMI_1_D,2013-08-31,7478
1130211_FD1_L1_EDMI_1_D,2013-09-01,8175
1130211_FD1_L1_EDMI_1_D,2013-09-02,7978
1130211_FD1_L1_EDMI_1_D,2013-09-03,7768
1130211_FD1_L1_EDMI_1_D,2013-09-04,6051
1130211_FD1_L1_EDMI_1_D,2013-09-05,5627
1130211_FD1_L1_EDMI_1_D,2013-09-06,3778
1130211_FD1_L1_EDMI_1_D,2013-09-07,7654
1130211_FD1_L1_EDMI_1_D,2013-09-08,9962
