weekday,average_energy_wh
Friday,285.72322744644606
Monday,286.7441693989554
Saturday,299.4292198044559
Sunday,313.57307939320117
Thursday,285.0366944541286
Tuesday,281.9665650007283
Wednesday,280.79911736725273
